galaxy_name,n_data_points,f_disk,f_disk_error,rho_c_Msun_kpc3,rho_c_error,r_c_kpc,r_c_error,chi_squared,chi_squared_reduced,degrees_of_freedom,soliton_mass_5rc_Msun,virial_mass_estimate_Msun,virial_radius_estimate_kpc,used_phonon_term,error_floor_fraction
CamB,9,0.10000000000000002,1.3275777112052871,5171406.645882315,5379398.922998988,49.99999996524812,31350.667835631968,2.5744725535524218,0.42907875892540365,6,29459687164472.68,144942150.25265777,10.83807651497775,True,0.05
D564-8,6,0.10000000000000002,20.562537573598746,15500655.419413906,40258427.0127071,1.1270403332221246,1.8288281410234934,0.10656643859585684,0.035522146198618945,3,1011295014.9269303,455473578.62871736,15.874804143043528,True,0.05
D631-7,16,0.10000000000000002,1.4025908444141695,11198961.183692008,2926319.1828022716,3.574046812822785,0.9392768681189888,3.457256954905226,0.2659428426850174,13,23300641531.281322,6252396864.210399,38.010433702173536,True,0.05
DDO064,14,0.10000000000000131,28.2282080527057,60613389.102137074,166561384.87434644,1.1186662601971984,1.5440196816785268,3.5799262404856265,0.32544784004414784,11,3867048472.483027,1891098713.7241716,25.51479279837244,True,0.05
DDO154,12,0.5299959763844785,0.3642371726166689,27231108.265919898,7437055.285369918,1.4579554115892324,0.2787141199002898,2.6602029896557897,0.29557810996175443,9,3845983997.881386,3248233234.8901877,30.556460608645654,True,0.05
DDO161,31,0.8224116338135691,0.1259821947603767,4517730.934046848,1130227.932918525,5.388469571954844,1.1154723858161224,3.8285707962855904,0.13673467129591393,28,32212623419.007896,14282261015.038338,50.05947623653256,True,0.05
DDO168,10,0.10000000000000005,6.77441123880595,25473861.65954984,16478232.437979009,2.2384651840982435,1.1403541475173302,9.523132621398121,1.3604475173425887,7,13021327059.716082,3253458791.5806746,30.57283761087495,True,0.05
DDO170,8,0.10000000000000002,30.224505838242997,18431115.09691751,63803778.49046517,2.030940390315713,3.5278651630729736,1.401014224115109,0.28020284482302177,5,7036433226.298253,10832317242.614231,45.652136060591516,True,0.05
ESO079-G014,15,0.6024522972977744,0.21386819846792313,30111295.119595524,12326401.342614913,5.186815057724691,1.0288724825309772,6.926295020569164,0.577191251714097,12,191487819447.0294,130751012326.48322,104.72145462357628,True,0.05
ESO116-G012,15,0.900530409588562,0.16861588556429605,34013299.23050051,24681513.848668925,2.9852859013782544,1.3952116371200163,5.247977552921464,0.4373314627434553,12,41239745732.050224,29641473550.404396,63.853872782178364,True,0.05
